amount,category,type,date
-600.0,Other,debit,2026-03-19
-12.6,Other,debit,2026-03-19
-349.0,Other,debit,2026-03-19
-10.0,Other,debit,2026-03-19
-28.0,Other,debit,2026-03-19
-30.0,Shopping,debit,2026-03-19
-25.0,Other,debit,2026-03-19
-2000.0,Other,debit,2026-03-19
-2204.0,Shopping,debit,2026-03-19
-2129.0,Other,debit,2026-03-19
-20.0,Other,debit,2026-03-19
-174.0,Shopping,debit,2026-03-19
-229.0,Other,debit,2026-03-19
-114.0,Other,debit,2026-03-19
-30000.0,Other,debit,2026-03-19
-400.0,Other,debit,2026-03-19
-423.0,Other,debit,2026-03-19
-480.0,Other,debit,2026-03-19
-72.44,Other,debit,2026-03-19
-21.0,Other,debit,2026-03-19
-2.0,Other,debit,2026-03-19
-27.0,Other,debit,2026-03-19
